,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
273,77,2.8,14.7,3.774,-1.0825807,-1.8999574,-75.39995
274,79,3.2,15.1,4.439,7.7017903,0.43268633,-31.172062
275,0,2.3,15.3,4.641,3.4106169,0.43268633,-30.143526
276,0,2.3,15.7,4.211,7.2888384,0.43268633,-33.112846
277,0,3.7,14.5,3.618,-1.4844335,0.43268633,-35.843216
278,0,5.0,14.4,3.384,-5.17266,1.8717768,-51.97341
279,0,7.3,12.9,4.135,-4.501028,-1.4833491,-202.82889
280,0,7.9,13.6,4.97,-9.115718,1.8579499,-199.45015
281,0,10.2,12.0,3.959,-5.106406,-3.4190862,-367.50018
282,126,10.2,12.9,3.613,-12.888132,0.43268633,-107.35548
283,306,14.3,14.9,3.407,-11.282598,1.2020763,-93.39589
284,630,12.6,13.5,3.328,-11.942656,1.4322681,-208.85178
285,1333,14.6,15.9,3.246,-13.803475,0.43268633,-160.53038
286,855,16.7,12.2,3.137,-13.156446,0.43268633,-158.58238
287,835,17.6,12.9,2.879,-15.693605,0.86152667,-172.52315
288,242,18.0,9.6,2.589,-15.651091,0.7984619,-237.43198
289,441,19.3,10.4,2.475,-22.40562,-0.18173344,-166.87038
290,1131,21.2,8.7,2.496,-17.690945,-1.26263,-161.34114
291,2808,22.7,9.5,2.71,-23.221415,0.45160577,-107.286224
292,21709,25.1,9.7,2.26,-24.088303,0.43268633,-87.050896
293,22181,25.1,8.5,2.208,-19.674917,0.43268633,-90.20596
294,92542,24.4,10.7,2.065,-23.728876,0.39315,-71.438194
295,104854,26.9,11.7,1.941,-24.95336,1.4996217,-76.21587
296,414,21.9,7.8,2.8,-22.834833,0.43268633,-299.49905
297,1809,27.4,11.5,2.64,-31.28471,0.43268633,-95.95894
298,34268,29.9,7.3,2.319,-31.675417,0.6218806,-45.2226
299,109427,30.7,6.4,1.671,-30.905674,0.43268633,-26.68451
300,715992,31.8,10.8,1.157,-29.57213,-1.5643601,-44.072235
