,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
186,18.7,11.1,1.964,19.689844,6.886943,183.13348
187,19.7,10.5,1.973,22.053457,3.0856981,130.82211
188,22.3,11.5,1.672,23.916653,6.6009474,100.58424
189,22.9,9.5,1.841,24.278643,4.0487,60.015175
190,23.3,7.9,1.792,25.639336,10.039538,94.602936
191,23.4,8.8,1.85,26.492777,0.108928114,125.80508
192,24.6,8.7,1.736,26.474905,25.46594,127.46354
193,24.3,8.6,2.045,26.38885,22.275036,473.16104
194,23.9,6.7,2.15,29.188715,22.424929,2631.831
195,25.0,7.9,2.789,29.292595,0.5648194,435.35873
196,26.1,8.6,2.65,28.714518,-0.39474642,215.19579
197,27.5,8.0,2.6,32.062637,24.784782,129.688
198,29.4,7.0,2.548,30.660604,1.1269071,168.22159
199,30.3,8.9,2.298,33.068275,-0.011897514,145.78525
200,30.8,8.8,2.466,31.48245,1.0122317,122.26835
201,30.8,13.2,1.885,30.30323,0.066931255,78.52825
202,27.6,8.5,1.656,26.123709,96.22439,609.32367
203,23.9,7.5,2.625,26.47012,9.306759,588.7003
204,24.5,7.9,3.267,24.990269,56.758156,828.02277
205,21.4,7.3,2.069,21.970343,2.3548048,1386.0541
206,22.3,9.5,2.328,24.653122,11.266561,234.79236
207,21.9,9.2,2.425,23.738863,30.234594,1064.6312
208,20.0,9.4,2.583,17.247864,-0.39474642,701.8466
209,18.9,10.1,2.378,19.270994,16.380997,278.88235
210,18.6,10.2,2.297,16.540535,1.9041915,131.8934
211,16.8,11.5,2.304,8.733865,-0.08150642,116.02439
212,14.0,13.1,2.461,10.459644,-0.39474642,97.352036
213,13.4,13.9,2.507,11.668093,4.963527,90.70425
214,13.2,11.1,2.522,10.216395,0.43295434,86.39637
215,10.3,10.5,2.617,6.2811384,0.86858636,97.06323
216,8.3,12.2,3.115,4.4173527,-0.39474642,81.708046
217,7.1,12.0,3.107,3.741039,-0.39474642,76.31002
218,5.7,12.2,3.383,10.172759,25.724026,150.87724
219,7.2,11.0,3.376,3.100547,5.2843723,142.34956
220,5.4,12.9,3.411,4.5326104,-0.39474642,112.19573
221,5.9,14.2,3.707,3.278136,-0.11631086,97.28677
222,4.1,13.5,3.337,-0.39608523,-0.39474642,100.38442
223,2.7,14.4,3.555,-0.12661017,-0.39474642,76.72462
224,3.2,13.9,3.452,3.0046241,0.33158362,67.40235
225,4.2,13.6,3.518,4.346002,0.579778,69.55204
226,4.0,12.9,3.598,6.8563833,0.91317683,84.08098
227,5.6,13.8,3.508,5.4619656,8.548299,130.85905
228,6.2,14.0,3.808,6.741545,0.95571274,91.94818
229,7.7,13.6,4.052,5.155054,-0.39474642,73.564545
230,8.6,13.5,3.743,8.332964,-0.39474642,138.89156
231,10.4,13.8,3.886,10.347201,2.5675511,72.21884
232,10.6,12.1,3.562,10.666475,4.2485824,54.490234
233,12.5,12.1,3.506,17.046667,18.084309,128.78745
234,14.8,10.9,3.723,16.88782,5.0695515,187.96051
235,16.1,10.6,3.121,17.384918,6.322511,189.3955
236,17.1,11.6,2.688,16.951857,0.95571274,131.07701
237,18.8,9.3,2.829,19.98191,0.999276,66.545555
238,19.9,8.8,2.354,19.406132,12.394756,82.55894
239,20.1,9.2,2.105,22.384207,-0.39474642,48.2414
240,22.1,10.2,2.199,23.764936,-0.39474642,48.271893
241,23.3,9.8,2.111,26.47647,-0.39474642,149.34866
242,23.5,9.0,1.92,24.553438,1.2262155,97.12562
243,24.1,9.4,1.894,25.237291,-0.39474642,61.296566
244,25.9,11.0,1.704,26.843042,1.3530362,45.278812
245,25.4,6.4,1.655,27.922083,9.699235,199.11751
246,25.8,7.8,1.84,29.519444,3.5161185,587.4636
247,26.8,8.3,1.423,31.291643,-0.046240825,284.82385
248,28.1,6.8,1.677,32.843796,1.7343187,558.0844
249,29.7,10.0,1.875,30.312962,5.3774137,897.95667
250,27.1,6.9,2.438,32.41833,0.962627,902.1627
251,29.6,12.9,1.955,32.207806,6.755701,311.9912
252,26.7,7.7,2.722,28.0666,19.446709,944.32135
253,26.9,7.9,3.024,30.765291,5.0558615,634.87616
254,27.5,10.8,2.511,25.864973,-0.39474642,231.65663
255,26.2,11.4,2.053,23.98839,9.195239,128.63763
256,25.3,9.0,2.111,23.927492,11.2299385,292.78397
257,23.9,12.2,2.359,23.418108,-0.046701968,106.75125
258,23.9,13.6,2.042,22.777815,4.310079,234.66515
259,22.6,12.8,2.27,22.98192,6.4011126,163.15602
260,20.4,10.4,1.942,17.952229,0.5449736,121.72662
261,18.5,8.8,2.044,15.273582,-0.2903331,85.78607
262,17.2,10.0,2.511,12.591398,-0.39474642,79.64969
263,15.5,11.6,2.607,13.229648,-0.39474642,54.584152
264,13.7,10.6,2.27,6.963844,-0.39474642,56.31448
265,10.4,11.9,2.453,4.329399,-0.39474642,60.77291
266,8.4,11.8,2.978,8.539876,-0.39474642,58.92246
267,7.6,12.9,3.147,1.4928586,-0.39474642,57.706284
268,4.4,11.6,4.289,-1.6757553,-0.2903331,55.31883
269,2.9,12.7,3.895,-0.6388141,-0.39474642,76.17673
270,2.8,14.2,3.769,1.1187179,3.8165915,93.211754
271,2.8,14.6,3.842,1.454564,-0.39474642,96.58123
272,2.8,14.8,4.165,-1.2307005,1.0322359,79.811935
273,2.8,14.7,3.774,3.9515162,6.2300634,88.89021
274,3.2,15.1,4.439,-3.256021,-0.39474642,43.785618
275,2.3,15.3,4.641,-2.156909,-0.39474642,58.42903
276,2.3,15.7,4.211,-0.18804044,-0.39474642,64.08696
277,3.7,14.5,3.618,3.8590298,-0.39474642,46.69065
278,5.0,14.4,3.384,6.5927954,10.469777,80.213455
279,7.3,12.9,4.135,8.279478,16.630482,323.6243
280,7.9,13.6,4.97,12.93558,9.450537,229.56886
281,10.2,12.0,3.959,7.1192403,10.477041,492.08508
282,10.2,12.9,3.613,15.19321,-0.39474642,192.17741
283,14.3,14.9,3.407,15.921688,7.924269,473.09103
284,12.6,13.5,3.328,16.794046,10.512879,308.66772
285,14.6,15.9,3.246,18.597178,-0.39474642,224.43604
286,16.7,12.2,3.137,16.925812,12.420035,279.84357
287,17.6,12.9,2.879,18.56899,2.5675511,209.61201
288,18.0,9.6,2.589,17.653551,6.7401648,299.48404
289,19.3,10.4,2.475,24.596247,4.1745477,215.28204
290,21.2,8.7,2.496,22.312626,12.156591,224.46289
291,22.7,9.5,2.71,25.584484,-0.26405683,127.05471
292,25.1,9.7,2.26,25.90761,-0.08150642,94.09243
293,25.1,8.5,2.208,22.281538,7.436254,113.19657
294,24.4,10.7,2.065,26.242306,1.1790138,82.054794
295,26.9,11.7,1.941,27.75725,33.00459,424.21194
296,21.9,7.8,2.8,31.331171,2.1807826,390.79004
297,27.4,11.5,2.64,32.583645,-0.39474642,152.24034
298,29.9,7.3,2.319,33.63953,0.91214955,65.59833
299,30.7,6.4,1.671,32.983967,0.4753647,55.880653
300,31.8,10.8,1.157,32.233463,12.46929,145.59286
301,30.6,11.1,1.236,31.090122,5.8297358,152.93695
302,28.1,12.6,1.385,30.562326,3.58171,151.9754
303,25.3,6.5,2.306,28.199982,74.14264,1358.6587
304,23.8,7.8,2.262,24.68791,11.713514,1456.659
305,23.2,8.4,2.542,23.713625,4.449933,246.46712
306,23.2,8.7,2.005,24.492733,12.788084,357.30652
307,22.1,10.4,2.619,20.35426,-0.35118324,302.49545
308,20.7,9.7,2.638,19.847878,57.134785,1668.7749
309,17.7,11.6,2.232,14.86495,-0.39474642,169.20323
310,16.8,10.8,2.234,14.002985,1.1299655,125.809135
311,15.5,11.5,2.573,9.370143,-0.39474642,108.605644
